route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15,47258,15,Nallikari - Mäntylä,,3,,3300cc,ffffff
41,47258,41,Oulu - Muhos - Oulu,,3,,000000,ffffff
240,6750,23AS,Alaranta- Ii - Haukipudas - Linnanmaa - Oulu-OYS,,3,,000000,ffffff
10,6750,10,Koskela - Heikinharju,,3,,3300cc,ffffff
385,6750,38JL,Ylikiiminki - Haukipudas,,3,,000000,ffffff
441,6750,4A,Herukka - Heikkilänkangas,,3,,3300cc,ffffff
237,6750,23,Ii - Haukipudas - Linnanmaa - Oulu,,3,,000000,ffffff
74,47258,7N,Keskusta - Saarela - Kivikkokangas,,3,,3300cc,ffffff
524,47258,52K,Liminka - Tupos - Pirilä - Oulu,,3,,000000,ffffff
244,6750,23S,Ii - Haukipudas - Linnanmaa - Oulu-OYS,,3,,000000,ffffff
292,6750,29M,Ii - Yli-Ii,,3,,000000,ffffff
106,48315,BK,Medipolis - keskusta,,3,,666666,ffffff
410,46673,41,Oulu - Muhos - Oulu,,3,,000000,ffffff
412,47258,41K,Oulu - Muhos - Oulu,,3,,000000,ffffff
413,46673,41A,Oulu - Muhos - Oulu,,3,,000000,ffffff
541,47258,54,Liminka - Tyrnävä - Oulu,,3,,000000,ffffff
442,6750,4N,Keskusta - Heikkilänkangas,,3,,3300cc,ffffff
882,6750,8B,Keskusta - Lentoasema,,3,,3300cc,ffffff
204,6750,20N,Keskusta - Martinniemi,,3,,000000,ffffff
105,48315,B,Keskusta - Medipolis,,3,,666666,ffffff
388,6750,38Y,Kiiminki - Ylikiiminki,,3,,000000,ffffff
991,6750,9V,Heikinharju - Lentoasema,,3,,3300cc,ffffff
404,46673,40A,Oulu - Muhos,,3,,000000,ffffff
64,47258,64,Salonpää - Pajuniemi - Oulunsalo,,3,,000000,ffffff
54,47258,54B,Tyrnävä - Oulu,,3,,000000,ffffff
9021,6915,48,Utajärvi - Muhos,,3,,000000,ffffff
20,6750,20,Martinniemi - OSAO,,3,,000000,ffffff
383,6750,38B,Haukipudas - Kiiminki,,3,,000000,ffffff
239,6750,23S,Ii - Haukipudas - Linnanmaa - Oulu-OYS,,3,,000000,ffffff
4,6750,4,Herukka - Iinatti,,3,,3300cc,ffffff
243,6750,23B,Ii - Oulu,,3,,000000,ffffff
28,6750,28,Ii - Linnanmaa - Oulu - OYS,,3,,000000,ffffff
35,6750,35,Kiiminki - Oulu,,3,,000000,ffffff
203,6750,20N,Keskusta - Martinniemi,,3,,000000,ffffff
262,6750,26,Oulu - AOL,,3,,000000,ffffff
21,6750,21,Kellon Kiviniemi - Oulunsuu,,3,,000000,ffffff
386,46673,38Y,Ylikiiminki - Kiiminki,,3,,000000,ffffff
354,6750,35N,Oulu - Jääli -  Kiiminki,,3,,000000,ffffff
363,46673,36,Ylikiiminki - Oulu,,3,,000000,ffffff
233,6750,23AB,Alaranta - Ii - Oulu,,3,,000000,ffffff
34,6750,34,Jääli - Oulu,,3,,000000,ffffff
563,47258,56AK,Kempele - Tyrnävä,,3,,000000,ffffff
104,48315,A,Keskusta - Värttö,,3,,666666,ffffff
