stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
101614,1395,Kuivala E,,65.174872,25.576205,4,http://oulunliikenne.fi/1395,0,,Europe/Helsinki
101635,1486,Haipuskylä P,,65.134743,25.694296,3,http://oulunliikenne.fi/1486,0,,Europe/Helsinki
150157,2580,Pitkäkankaantie E,,64.94142,25.39673,3,http://oulunliikenne.fi/2580,0,,Europe/Helsinki
310719,4012,Liikkujantie E,,65.00197642616308,25.60864894740764,2,http://oulunliikenne.fi/4012,0,,Europe/Helsinki
121535,2009,Kalliola E,,65.02523100000002,25.487032,2,http://oulunliikenne.fi/2009,0,,Europe/Helsinki
189531,2942,Koivikko P,,64.816295,25.967353,4,http://oulunliikenne.fi/2942,0,,Europe/Helsinki
101705,1147,Pajarinperä E,,65.321511,25.545624,4,http://oulunliikenne.fi/1147,0,,Europe/Helsinki
169586,3117,Toppilansaarentie E2,,65.032039,25.42602,2,http://oulunliikenne.fi/3117,0,,Europe/Helsinki
101062,2691,Kempeleen yläaste P,,64.917046,25.477238,3,http://oulunliikenne.fi/2691,0,,Europe/Helsinki
98777,2977,Muhoksen keskusta E,,64.80723500000002,25.994831,4,http://oulunliikenne.fi/2977,0,,Europe/Helsinki
150058,2813,Ketolanperä P,,64.869575,25.587953,3,http://oulunliikenne.fi/2813,0,,Europe/Helsinki
301593,2768,Ketolanperäntie,,64.894887,25.546434,3,http://oulunliikenne.fi/2768,0,,Europe/Helsinki
184256,1224,Rajala P,,65.303567,25.54908,4,http://oulunliikenne.fi/1224,0,,Europe/Helsinki
307190,3321,Ritakierros E,,65.08381300000002,25.453834,2,http://oulunliikenne.fi/3321,0,,Europe/Helsinki
148495,1197,Jakkila E,,65.316217,25.350254,4,http://oulunliikenne.fi/1197,0,,Europe/Helsinki
183955,3174,Pesätie P,,64.952362,25.536037,2,http://oulunliikenne.fi/3174,0,,Europe/Helsinki
101524,1461,Luostarinvainio E,,65.146475,25.35153,3,http://oulunliikenne.fi/1461,0,,Europe/Helsinki
98804,8222,Parpala P,,64.7777,26.2948,5,http://oulunliikenne.fi/8222,0,,Europe/Helsinki
307136,3072,Lumijoen peruskoulu P,,64.84181700000002,25.179769,4,http://oulunliikenne.fi/3072,0,,Europe/Helsinki
101688,1177,Iin terveyskeskus P,,65.31923500000002,25.408156,4,http://oulunliikenne.fi/1177,0,,Europe/Helsinki
189729,2804,Laivurintie E,,64.87035,25.887555,4,http://oulunliikenne.fi/2804,0,,Europe/Helsinki
121087,2481,Kuukkelitie P,,64.96021,25.556948,2,http://oulunliikenne.fi/2481,0,,Europe/Helsinki
120930,2291,Suohaukka E,,64.98845,25.522958,2,http://oulunliikenne.fi/2291,0,,Europe/Helsinki
97687,1368,Jokela P,,65.182876,25.500822,4,http://oulunliikenne.fi/1368,0,,Europe/Helsinki
188710,3329,Susitie P,,65.033137,25.474909,2,http://oulunliikenne.fi/3329,0,,Europe/Helsinki
150071,2862,Bask E,,64.849524,25.636842,3,http://oulunliikenne.fi/2862,0,,Europe/Helsinki
309976,3391,Ritaharjun koulu E,,65.080248,25.456944,2,http://oulunliikenne.fi/3391,0,,Europe/Helsinki
101663,1652,Huttukylä th P,,65.079691,25.847289,3,http://oulunliikenne.fi/1652,0,,Europe/Helsinki
120687,1981,Nallikari P,,65.02825,25.415567,2,http://oulunliikenne.fi/1981,0,,Europe/Helsinki
98499,1621,Hamari P,,65.0889,25.676549,3,http://oulunliikenne.fi/1621,0,,Europe/Helsinki
